«Не уличена – не гулена». А как начинается эта пословица?|Не пойман – не вор
В 1872 году Идвирд Мейнбридж заявил, что лошадь при галопе отрывает от земли одновременно все четыре ноги. Для доказательства этого он сделал ряд фотографий, быстро следующих одна за другой. А кто развил эти идеи?|братья Люмьер
В 1885 году издательство «М.О.Вольф» как и всегда выпустило книгу «Дума за думой, или памятная книга на каждый день». Сколько в ней было страниц?|365
В 1886 году молодой доктор медицины и естественных наук Амстердамского университета Эжен Дюбуа решил отправиться в Нидерландскую Ост-Индию на поиски предка человека. Но правительство Нидерландов и Амстердамский университет отказались финансировать поездку ученого. Тогда Дюбуа нашел путь за государственный счет оказаться на Яве и начать раскопки. Что же он сделал?|поступил в армию
В 1897 году один французский миссионер открыл на Мадагаскаре мастерскую, где приступили к выработке сверхтонкого шелка первые 30000 ткачей. Хотя труд был тяжелым, все работники в течение сезона честно трудились бесплатно. Почему же эти ткачи из племени шелабе не вздумали бастовать?|это были пауки
В 19 вке этот предприимчивый американец сумел продать первую пачку фруктовой жевательной резинки. А как была фамилия этого мистера Уильяма?|Риплей
В 1902 году этот арабский эмир нанес поражение правителю Кувейта Мубараку и захватил Эр-Рияд, нанес поражение правящей династии Рашидидов и начал расширять свои владения. А как звали отца этого храброго эмира?|Сауд
В 1905 году на руднике «Премьер» в Трансваале был обнаружен самый большой из найденных на Земле алмазов. Он весил 3106 карат (621 грамм). А как была фамилия президента горнодобывающей компании, которой принадлежал рудник?|Кюллинан
В 1938 году Зигмунд Фрейд писал, что политическое несчастье еврейской нации научило ее по достоинству ценить эту единственную оставшуюся у нее собственность. Что это?|Тора
В 1945 году ежегодник самого аристократического в Гаване иезуитского коллежа «Белен» был посвящен почти целиком одному человеку. Назовите этого человека.|Фидель Кастро
В 1955 году мистер Рей Крок увидел, как братья Мак и Дик лихо нарезают овощи и готовят великолепные бутерброды. Контракт был заключен немедленно. Назовите их фамилию.|Макдональд
В 1964 году вышел специальный указ маршала Малиновского об отмене стрижки призывников, направляемых для прохождения действительной военной службы в эту организацию. В какую?|Театр Советской Армии
В 1983 году папа Иоанн Павел II посетил в итальянской тюрьме Реббибия человека, на которого имел все основания быть сердитым, и простил ему грехи. Назовите имя этого человека.|Мехмед Али Агджа
В 1990 году 115-летняя французская актриса Жанна-Луиза Кальмон снялась в совместной франко-канадской картине «Винсент и я». Как звали ее героиню?|Жанна-Луиза Кальмон
В VI веке н.э. англосаксонский монах Беда Достопочтенный изрек: «Пока стоит Колизей – будет стоять Рим, когда падет Колизей – падет Рим...» А что будет, когда падет Рим?|падет весь мир
В XI веке владения графини Матильды были грандиозны. От прадедов ей перешли графства Реджио, Модена, Мантуя, от деда – Брешия, Феррара, от отца – Тоскана, кроме того, она владела землями в Вероне, Парме, Лукке, Лотарингии, но нам лучше всего известна главная цитадель ее рода в графстве Реджио после весьма необычного визита туда германского императора Генриха IV. Назовите этот замок.|Каносса
В Англии этот рекорд зафиксирован на цифре VIII и принадлежит жестокому Генриху и благородному Эдуарду. А в России этот рекорд, естественно, принадлежит Ивану. Чему он равен?|шести
В годы правления императора Августа тот решил дать народам империи, не принятым в число римских граждан, какого-нибудь римского бога, которому те могли бы смиренно поклоняться. И Меценат посоветовал Августу дать им такого бога, который бы мог хорошенько приглядывать за этими народами. Кого посоветовал Меценат Августу дать им в боги?|самого Августа
В Израиле аналогичная телепередача называется «Харцофим». В Португалии – «Контр-информасао». В Чехии – «Гумаци». В Испании – «Лас Нотисьяс дель гиньоль». Во Франции – «Гиньоль». А как эта популярная передача называется в России?|Куклы
В какой стране в выборах участвовала партия под названием «Движение за права мужчин в семье»?|в Израиле
В каком штате США на 50 мужчин приходится 1 женщина?|Аляска
В Китае он имеет сотню названий в зависимости от области. Шуйсен, юньнань, шаоцун, улун, чича, точа. Для его обозначения используется один из самых древних иероглифов, созданный в V веке до н.э. и передающий понятие «молодой листок». А как звучит это понятие для нашего слуха?|чай
В конце 50-х XIX века в Лондоне был установлен довольно необычный фонарь с двумя газовыми рожками, который работал только в дни тумана и в темное время. Что это был за необычный фонарь?|первый светофор
В Монтре, на берегу острова Леман сгорело старое казино. Это ничем не примечательное событие послужило поводом для создания музыкального произведения, которое справедливо считается ныне классикой рок-музыки. Как же называлась песня?|Дым над водой
В начале 20-х годов XX века маленькие безлюдные островки Лемнос, Галлиполи, Кабакта, Халки и Принкипо, принадлежащие Османской Империи, вдруг оказались заселенными. Кем были заселены так внезапно эти острова?|белогвардейцами
В начале XX века американские города стали застраиваться многоэтажными домами. Фермер терял шляпу, засматриваясь на 8-этажные громады. А с внедрением какого технического новшества этажность стала расти чуть ли не ежегодно?|лифта
В правление Цезаря Нерона репрессии обрушивались на головы инакомыслящих римских аристократов, казавшихся опасными императору. Никого не удивила гибель сенатора Цезония Руфа, консула Корнелия Сабина, Децима Помпея. И только смерть богача Ваттия удивила многих. А почему?|умер своей смертью
В свое время премьер-министр Англии лорд Пальмерстон обещал большую денежную премию тому, кто сумеет принести в зал палаты лордов один экземпляр этой книги. Что это за книга? Добавим, что лорд Пальмерстон ничем не рисковал.|английская Конституция
В своем трактате Оноре де Бальзак писал: «Любой стенной шкаф, даже если в нем может разместиться самое большое с полдюжины банок варения, подлежит уничтожению». А кому и зачем был дан столь необычный совет?|мужьям
В своем труде «Психоанализ и религия» Эрих Фромм называет «вечными странниками» четыре мифические персоны. Троих назову вам я – это Эдип, Авраам и Фауст. А четвертого «вечного странника» предстоит назвать вам.|Одиссей
В течение многих лет этот город назывался Ленинск, был режимным и строго засекреченным. Хотя эти времена в прошлом, но и сейчас в билете на самолет летящий из Москвы в этот город иногда пишут просто «Аэродром Крайний». А как называется этот город сейчас?|Байконур
В феврале 1258 года произошло событие, которое было воспринято восточными христианами как небесное возмездие угнетателям за века унижений и произвола. А что же случилось?|монголы заняли Багдад
В Японии выпускается газета «Нюеку Таймс». Из 3000 ежедневно выпускаемых экземпляров 2400 распространяются в тех заведениях, в которых японцы часто проводят вечера, обмениваясь новостями. Что это за заведения?|бани
В Японии это называлось катакиути. А как это называлось в Сицилии?|вендетта
Великий шахматист Бронштейн соглашался, что блестяще и заманчиво стать чемпионом мира. Но его пугало то, что этот титул можно сохранить только на 3, 6, максимум 9 лет, а потом... Что же такое страшное, по мнению Бронштейна, ждет вас в этом случае на всю оставшуюся жизнь?|звание экс-чемпиона
Видный философ XV века Николай Кребе, известный нам, как Николай Кузанский, развивал идею единства противоположностей. А так как он одновременно был пантеистом, т.е. подчеркивал, что бог везде, то это навело его на мысль. Какую?|бога нет нигде
Во времена Мухаммеда, на ярмарках над палатками, в которых торговали вином, вывешивали кусок материи. Среди зажиточных пьяниц особой удалью считалась заставить хозяина спустить флаг. Как же им удавалось этого достигнуть, если насилие при этом не допускалось?|они выпивали все вино
Вопрос 4: Закончите мысль сэра Мортимера Уиллера, заметившего, что, подобно крыловскому посетителю кунсткамеры, археолог может найти бочку, но при этом не заметить... Кого?|Диогена
Востриков не был альпинистом, но именно ему принадлежит слава исключительно сложного восхождения. А как звали Вострикова?|отец Федор
Впервые о нем заговорили в период правления президента Эндрю Джонсона. У Томаса Джфферсона он был кухонным, у Теодора Рузвельта – теннисным, у Уоррена Гардинга – покерным. Во всех случаях он неконституционный. А каким эпитетом его награждают чаще всего?|теневой
Вряд ли вы помните его как автора опер «Армида», «Признанная Европа», «Данаиды». А ведь именно его опера открывала в 1778 году театр «Ла Скала» в Милане. Зато все вы помните его сотрапезника в трактире «Золотого Льва» в декабре 1791 года. Как же зовут этого жителя Леньяно, переехавшего в 1766 году в Вену?|
Вырост грудины у птиц; вертикальная часть хвостового оперения самолета; Созвездие южного полушария; Порт в Германии. Одним словом.|киль
Гельвеций считал, что на земле нет ничего, более достойного уважения, чем он. Белинский считал его духовным орудием человека. Леви-Стросс считал, что о нем легче судить по вопросам, чем по ответам. Ну а Ларошфуко считал, что люди часто пользуются им для свершения глупостей. О чем идет речь?|об уме
Говорят, что боровшиеся с испанцами нидерландские дворяне-офицеры носили на своей форме веревки в знак презрения к испанцам, как бы говоря, что готовы быть повешенными, но не сдаться. А во что вылилась эта мода после победы революции?|в аксельбант
Девять лет назад парижский дизайнер Сильвия Бурдон предложила конкурс на лучший эскиз этой купюры. В качестве вариантов предполагали на ней изобразить глаза Моны Лизы, рисунки с греческих ваз, тополиный лист, собор Св. Петра в Риме, портрет Карла Великого... И вот в этом году должен появиться победитель конкурса. Как же называется эта валюта?|экю
Для баскетболистов «Жальгириса» он зеленый, для поклонников Шаолиня – молодой... А какой он для Робина Гуда?|Шервудский
Для увековечивания славы Алексея Орлова, разбившего турецкий флот под Чесмой, Екатерина II отдала приказ о взрыве 60-пушечного фрегата «Св. Варвара». Это дало Гете повод назвать «Св. Варвару» самой дорогой... Кем?|натурщицей
До «Прощания с родиной» он считал себя самым подходящим кандидатом на ее престол. Увлеченный походом Бонапарта в Египет, он в 1799 году стал отцом «Зелиды и Вальпурга». Но настоящую славу принесли ему поражение в войне и эмиграция. Назовите фамилию этого человека, так любившего мелодии Мазовии.|Огиньский
До Алоиса Зенефельда это делали резцом или иглой на дереве или на кости. А благодаря Алоису это с 1796 года делают жирным карандашом на известняке, который затем обрабатывается кислотой. Так что же это?|гравюра
Древние греки считали это рукоприкладством, а томич Савиных вполне обоснованно называет это рукоделием. Что это?|хирургия
Его перу принадлежат «Замечания к Эвклиду», «Программы по алгебраической геометрии», «Формулы простой тригонометрии». Назовите основную работу этого математика, в которой освещены основы кибернетики и теории вероятностей.|Алиса в Зазеркалье
Если верить русским пословицам, она без соли обедает, до добра не доведет, за пазухой гнездо свила, лежа на печи замерзла. Кто она?|лень
Жил в XVII веке во Франции неутомимый в карточных делах шевалье де Мере, поразивший всех своим умением учитывать все возможные комбинации вероятностей и выигрывать все игры. Как же звали его консультанта?|Блез Паскаль
Жители Техаса любят приукрашивать свои повествования. Поэтому девиз ковбоя-рассказчика требует никогда не портить хорошей истории этим. Чем?|правдой
Журнал «Ровесник» в 10 номере за 1996 год опубликовал сравнительную таблицу прошлого лета на тему «Как выглядят представители разных наций». О ком в этой таблице сказано следующее: «Они очень толстые. Ведут себя так, будто им принадлежит весь мир. Носят кричащие рубашки. Много жалуются.»|об американцах
Забавно отношение бушменов к своим племенным богам. Им молятся о ниспослании дождя, а вот что с ними делают, если дождь все же не пойдет?|их бьют
Завершите фразу, которую Джимми Картер сказал в один из последних дней своего президентства: «Через несколько дней я сложу с себя все полномочия и получу то единственное звание, которое в нашей демократической стране выше президентского, - ...».|звание гражданина
Закончите пословицу: «Народ не желающий кормить свою армию,...».|будет кормить чужую
Замечено, что в Мадриде больше солнечных дней в году, чем в любой другой европейской столице. Расположенная в 52 км от него горная гряда Гуадарамма защищает город от северных ветров. В XVIII-XIX веках многие наследные принцессы приезжали в Мадрид в один из важнейших моментов своей жизни и жизни своих государств. В какой?|перед родами
Застав однажды Пушкина в дорогом ресторане, граф Завадовский поинтересовался: «Видно, туго набит ваш кошелек?». На это Пушкин заметил, что не живет, подобно графу, доходами от многочисленных деревень, а получает постоянный доход из тридцати шести. Чего?|букв
Зимой 1827 года в Москву, в Харитоньевский переулок, к двоюродной тетке Алине приехала с семьей ее племянница, вскоре сделавшая блестящую партию с высокопоставленным военным. А как звали ее первого возлюбленного?|Евгений Онегин
Знаменитый математик Марков на вопрос «Что такое математика?» отвечал: «Математика – это то, чем занимаются Гаусс, Чебышев, Стеклов и...» Кто же еще?|и я
Известны следующие варианты названия этой книги: «Консультант с копытом», «Князь тьмы», «Копыто Инженера», «Великий канцлер», «Сатана», «Вот и я». А как был назван окончательный вариант этой книги?|Мастер и Маргарита
Им было дано определение, первое слово которого характеризовало их цвет, второе – силу их воздействия, третье – выраженность их темперамента, а четвертое – степень их привлекательности. Теперь, подумав, назовите мне их.|очи
Император Наполеон III заказал для своего стола парадные ножи и вилки из этого редкого и дорогого металла. Из чего же стремящийся к роскоши и необычным жестам правитель пожелал иметь столовые приборы?|из алюминия
Имя это в качестве прозвища было присвоено одному из римских воинов, убившему во время II Пунической войны слона. Оно прославлено потомком Анхиза и Венеры, родившимся 13 июля 100 года до н.э., сыном папы Александра VI, и майором Советской Армии, отличившимся в 1942 году у Мысхако. А теперь произнесите слово «слон» по-пунийски – хотя бы приблизительно.|Цезарь
Испанский миллионер Руис Матсос, по его собственному признанию, за всю свою жизнь не читал ничего, кроме финансовых сводок, биржевых бюллетеней и еще одной книги. Какой?|Библии
Как известно, творение заняло у бога всего семь дней. В первый сотворил он небо и землю, в третий – сушу и моря, в шестой создал целый зоопарк во главе с человеком. А кого он создал в седьмой день?|никого
Как называется молодежное движение, девиз которого – «живи быстро, умри молодым»?|панки
Как называется то целое, зародившееся в Финикии, одна тридцать третья часть которого, по меткому замечанию Набокова, позволяет отличить смешную часть вопроса от всемирной? (комическое от космического).|алфавит
Как по-английски, по мнению некого дублинского декана, звучит лошадиное ржание?|гуигнгнм
Как-то, осматривая обсерваторию Маунт-Вернон, миссис Эльза задержалась у телескопа. Впечатляли размеры – диаметр зеркала достигал 2,5 метра. На вопрос женщины, зачем нужен такой гигант, ей ответили, что главное его назначение – узнать строение Вселенной. «А мой муж», – ответила миссис Эльза, – «делает это на обороте старого конверта». Назовите ее фамилию.|Эйнштейн
Какая эмоция, по утверждению Сократа, является началом всей мудрости?|удивление
Какие литературные взгляды сближали грека Зоила и пушкинского приятеля с берегов Невы?|бранил Гомера
Какое морское животное кельты называли «Змеиным яйцом»?|морского ежа
Какой титул лет 30 назад от пехоты перешел к кукурузе?|Царица полей»Велик пень, да дуплист». А как начинается эта пословица?|мал золотник, да дорог
Какую страну, известную засильем бюрократии, называли «Империей лицензий»?|Индию
Китайцы называли это растение ча. И только в провинции Фукиэн, откуда его поставляли во Францию, его называли иначе. Как?|тэ
Когда австрийский император Иосиф II впервые услышал оперу Моцарта «Похищение из сераля», он заметил автору: «Слишком хорошо для наших ушей. И кроме того, вам не кажется, что слишком много нот?» Что ответил Моцарт?|столько, сколько нужно
Когда Вольфганг Амадей Моцарт представлял на суд зрителей свою оперу «Похищение из сераля», премьера прошла с большим успехом. Не понравился спектакль только императору Иосифу Второму. Он назвал музыку «слишком хорошей для наших ушей» и высказал мнение, что кое-чего в этой опере ужасно много. Конечно, он был прав, но что же показалось ему чрезмерным? Чего было много в этой опере?|нот
Когда же именно, по мнению Блеза Паскаля, автор понимает, с чего он должен был начать свой труд?|когда его заканчивает
Когда жена Павла, будущего императора, в слезах пожаловалась Екатерине II на увлечения своего супруга фрейлиной Нелидовой, императрица, не говоря ни слова, в качестве аргумента, доказывающего невозможность измены со стороны Павла, подвела Марию Федоровну к некому предмету. Какому?|к зеркалу
Когда он умер, в день его похорон во всех парижских борделях был объявлен траур и нерабочий день. А кто он?|Ги де Мопассан
Когда этого англичанина пригласила к себе одна американская лаборатория, то к приезду известного гостя ее сотрудники навели образцовый порядок и все оборудование сверкало первозданной чистотой. Пораженный этим, гость заметил: «Если бы я все время работал в столь стерильной лаборатории, то не добился бы своей славы». Назовите его.|Александр Флеминг
Коко Шанель говорила: «До 20 лет вы имеете лицо, которое вам дал Бог. После 30 – то, которое вы создаете сами.» А какое лицо, по мнению Шанель, вы имеете после 50?|то, которое заслужили
Кто занял должность спикера Сената США в 1996 году?|никто
Луций Лициний Лукулл, Публий Клавдий Пульхер, Публий Вариний – I век до н.э., Штадтлер, Носке, Эберт, Шейдеман – 1919 год, Луис Фернандес, Йожеф Сабо, Джованни Трапаттони – 1994 год. Назовите имя, объединившее их в борьбе.|Спартак
Мировыми лидерами в производстве этого являются США, Канада, Англия, Франция, Швеция, Япония, ФРГ и Россия. На изготовление одного экземпляра уходит до 20 дней, а само изделие держит абсолютный рекорд по числу достижений науки и техники на 1 грамм своего веса. В его производство вовлечены многие специалисты – от рубщика леса до химика. Как называется это изделие для Болгарии, куда его экспортировали с 1881 года из России, Германии и Англии?|лев
На 30 июня 1999 года Всемирная Организация Здравоохранения наметила намеренное уничтожение последних образцов этого биологического вида. Какого?|оспа
На берегах этой крошечной речушки, затерявшейся у атлантического побережья Бразилии, некогда жило индейское племя тупинамба, сражавшееся с конкистадорами. С середины XX века это имя привлекает внимание Фрэнка Синатры, Тины Тернер, Стинга, Иоанна Павла II. А одному королю имя этой речушки принесло мировую славу. Произнесите имя этой реки на языке ныне вымершего племени тупинамба.|Маракана
На вопрос Екатерины II, любит ли кто-нибудь ее фаворита Григория Потемкина, ее наперсница Марья Перекусихина ответила: «Лишь двое – ты, матушка, да...» Кто же еще?|бог
На вопрос: «Кто это?» Бертран Рассел ответил так: «Общаясь с этим человеком, каждый невольно ощущает себя джентльменом». Кого так характеризовал философ?|джентльмена
На новый год японцы ставят у себя дома ветки сосны, символа долголетия и могущества, сливы, символа постоянства и третьего растения, которое символизирует добродетель. Назовите это растение.|бамбук
На плаццо Коммунале с башней Ламберти почти напротив друг друга стоят два дома. Над воротами одного из них древний герб хозяев – шляпа. Как звали хозяина дома, расположенного напротив?|Монтекки
Назовите семейство, представители нескольких поколений которого были капитанами «Голубой эскадры» (Скуадра Адзурра).|Мальдини
Начиная с 1173 года проектов на эту тему было немало. Один из них предполагает, что св. Раньери огромным мечом будет поддерживать 14000 тонн мрамора. Покровителем какого города является св. Раньери?|Пизы
Немецкая писательница Аннеке Дросте-Хюльсхофф, автор крестьянского романа «Вестфальские картины», с 1 августа 1991 года заняла в умах рядовых немцев то место, которое с 2 января 1960 года прочно удерживала жена нюрнбергского купца Элизабет Тушер. Правда, если писательница ассоциируется с деревом и пером, то купчиха – со скрипкой и смычком. А как называется город, где постарались сделать все для этой смены идеалов?|Франкфурт-на-Майне.
Немецкого тренера Франца Беккенбауэра спросили, кого из футболистов он бы хотел пригласить в свою команду-мечту. Тот ответил, что, к сожалению, три игрока его мечты уже на пенсии. Первый из них – Герд Мюллер, второй – Пеле. Кто третий?|Беккенбауэр
Оба брата были представителями родовитой семьи, известной во Франции с XIV века. Старший – Андре Мари Жан Жак Дюпен – был генеральным прокурором и оставил несколько трудов по французской процедуре судебных доказательств, а младший – Франсуа Шарль Пьер Дюпен – был известным математиком и экономистом. А как звали американца, весьма почитавшего эту семью и соединившего прокурорские способности старшего брата с математическим дарованием младшего?|Эдгар Аллан По
Один из старейших его ораторов, лорд Сопер, назвал это место «братством несогласия». А как на самом деле называется это место?|Гайд-парк
Одним из лучших учеников борца Аристона из Аргоса был Аристокл, которого учитель за крепкое телосложение прозвал «Широким». Проданного в рабство Аристокла выкупил за 20 мин Анпикерид и купил ему сад близ Афин. Как назывался этот сад?|Сад Академа
Он был известным богословом, ректором Сорбонны, подверг сомнению физические и логические аксиомы Аристотеля, предложил «принцип инерции», который впоследствии прозвали первым законом Ньютона, переспорил в ученом споре самого папу римского Иоанна XXII... А какое животное его прославило?|осел
Он известен, как автор театральных пьес «Смирнский слепой», «Европа», «Мирам», «Большая пастораль», сценическая постановка которых проходила в присутствии короля и королевской семьи. Но мало кто знал, что за известнейшей фамилией числившегося автором человека стояли известнейшие драматурги того времени – Буаробер, Летуаль, Коллен, Ротру, Корнель... А кому приписывали эти произведения?|Ришелье
Он написал нобелевскую лекцию «Мир, прогресс, права человека» в 1975 году. Она прочла её. Назовите этих двух людей.|Сахаров и Боннэр
Основатель методистской церкви Джон Уэсли проклял их, в средние века капитаны кораблей не разрешали матросам брать их на борт, сегодня шахтеры, спускаясь в забой, не берут их с собой, а квартирные воры, берущие что угодно, оставляют их хозяевам. Но популярность их все-таки очень высока. Что же это?|игральные карты
Переведите на язык африкаанс «раздельное проживание».|апартеид
Переведите на японский «человек искусства».|гейша
По мнению Рабиндраната Тагора, когда перед ошибкой захлопывают дверь, то именно ей перекрывают пути для входа. Кто же она?|истина
По преданию, место для мечети и дома Мухаммеда было определено там, где Касве преклонила свои колени. А кем она была?|верблюдицей Мухаммеда
Повторите на языке оригинала ошибочное высказывание, сделанное Долорес Ибаррури после того, как 16 июля 1936 года ей сообщили о франкистском путче.|но пасаран
Правила этой игры преподаются в школах Швеции, Италии и Израиля. Ведь еще Сомерсет Моэм заметил: «Была бы моя воля, я сделал бы обучение детей этому обязательным. Когда сведены счеты со всем прочим – спортом, любовью, карьерой, то он остается утешением и развлечением».|бридж
Профессор Оксфордского университета Докинз утверждает, что смысл эволюции не в сохранении видов, а в сохранении конкретного генотипа. Не благо всего вида, а благо отдельного экземпляра. Как же профессор назвал ген, который, по его мнению, отвечает за это?|ген эгоизма
Раб – шудр. Свободный общинник – вайшьи. Воин – кшатрий. А как назывался священник?|брахман
Ронкбукский монастырь находится на границе Китая с Непалом. А что отличает его от всех других монастырей мира?|он самый высокогорный в мире
Русскую историю малолетнему Александру преподавал М.Н.Муравьев, математику – Массон, географию и естествознание – Петр Симон Паллас, физику – Крафт. А учебники будущему царю составлял человек весьма просвещенный, корреспондент Марата, Линнея и Гримма, автор пьесы «Олег». Как звали этого человека?|Екатерина 2
Рюноске Акутагава говорил: «Человеческая жизнь похожа на коробку спичек. Общаться с ней серьезно – смешно. Общаться несерьезно -...» Закончите фразу.|опасно
С 1780 по 1812 годы он был членом парламента, одним из лидеров радикального крыла вигов. Он выступал за парламентскую реформу и введение всеобщего избирательного права. Он был руководителем знаменитого театра «Друри лейн». Но больше всего его прославила «школа», созданная им в 1777 году. Как она называлась?|Школа злословия
С образованием единых абсолютистских государств в Европе носителем суверенитета стал сам монарх. Кто первым сформулировал этот тезис («Государство – это я»)?|Людовик 14
Секретарша английской фирмы «Эбби роуд билдинг сосайети» Никки Койпери аккуратно и деловито отвечает на все письма, приходящие к этому человеку на этот адрес. Назовите человека.|Шерлок Холмс
Сенатор от Орегона Уэйн Марс в возрасте 53 лет – 22 часа 26 минут, сенатор от Южной Каролин Строб Тэрмонд в 55 лет – 24 часа 19 минут, сенатор от Техаса Билли Мейер – 43 часа. Что это за показатели?|продолжительность речи
Сергей Эйзенштейн, ранее очень любивший этого режиссера, с которым вместе работал и снял не один фильм, позже язвительно называл его «орловским жеребцом». А как его фамилия?|Александров
Скажите на латинском: «возвращение на родину».|репатриация
Скажите по-арабски «надлежащий путь».|шариат
Словарь символов описывает этот предмет так: «Они символизируют инверсию взаимоотношений Верхнего и Нижнего Миров, периодически осуществляемых Шивой, господином творения и разрушения. Можно проследить связь образа с барабаном (имеющим сходную форму) и Андреевским крестом». Так какой же предмет имеет столь сложное символическое значение?|песочные часы
Со 2 июля 1966 года, после одного из приказов Шарля де Голля, это действительно стало таинственным местом. А теперь произнесите фразу «Место Великой Тайны» на таитянском диалекте полинезийского языка.|муруроа
Согласно плану «Вижипират», в 1995 году в Парижском метро были закупорены все мусорные урны. А для чего это было сделано?|борьба с терроризмом
Способная обогнать страх и державшая в ужасе население Европы, она способствовала рождению «Декамерона», появлению Вильсоновых трагедий, появлению первого сборника английских и шотландских баллад Джорджа Беннета... В конце концов, именно она способствовала раскрытию таланта сэра Исаака Ньютона. Назовите её.|чума
Средневековые рыцари привезли их с собой из крестовых походов. Их появление в Европе XI-XII веков породило «право на ветер», которым феодалы выгодно торговали. А какой рыцарь прославился войной против этих новинок?|Дон Кихот
Сын мясника, крещенный библейским именем, с плебейской фамилией Фо, всегда стремился в высший свет. Славу ему принесли переделка записок капитана Роджерса, которую он издал в «Хитнотском вестнике», подписавшись на дворянский манер. Какое имя ему дали при крещении?|Даниэль Дефо
Философ Гегель назвал это «пародией на характер». Писатель Ларошфуко утверждал, что это – «исчадие скудоумия, невежества и самонадеянности». А поэт Княжин назвал это «вывеской дурака». О чем идет речь?|об упрямстве
Фокстрот, Альфа, Ромео, Индия, Зулу. А теперь назовите мне имя. (Обозначения букв взяты из Международного фонетического алфавита).|Фариз
Французские специалисты в области хороших манер и этики считают, что основой обращения должно быть местоимение «вы». А «ты» – это лишь приятное исключение. В английском языке «ты» почти не употребляется, разве что в одном случае. К кому же англичане обращаются на «ты»?|к богу
