Австралийская река.|Ногоа
Город в Африке.|Тобрук
Город в Бангладеш.|Силхет
Город в Бахрейне.|Авали
Город в Бахрейне.|Ситра
Город в Башкирии, на реке Белая.|Салават
Город в Башкирии, пристань на р. Белая.|Бирск
Город в Башкортостане.|Агидель
Город в Башкортостане.|Баймак
Город в Башкортостане.|Белебей
Город в Башкортостане.|Белорецк
Город в Башкортостане.|Бирск
Город в Башкортостане.|Ира
Город в Башкортостане.|Мелеуз
Город в Башкортостане.|Салават
Город в Башкортостане.|Сибай
Город в Башкортостане.|Туймазы
Город в Башкортостане.|Учалы
Город в Беларуси.|Пинск
Город в Беларуссии, Брестская область (с 1940).|Береза
Город в Беларуссии; на Украине.|Городок
Город в Белгородской области.|Валуйки
Город в Белгородской области.|Губкин
Город в Белгородской области.|Короча
Город в Белгородской области.|Шебекино
Город в Белоруссии, Витебская область, на реке Адров (с 1972).|Барань
Город в Белоруссии, изв. с 16 века.|Сенно
Город в Белоруссии.|Барань
Город в Белоруссии.|Береза
Город в Белоруссии.|Брест
Город в Белоруссии.|Высокое
Город в Белоруссии.|Глубокое
Город в Белоруссии.|Гомель
Город в Белоруссии.|Гродно
Город в Белоруссии.|Дисна
Город в Белоруссии.|Докшицы
Город в Белоруссии.|Дрогичин
Город в Белоруссии.|Дубровно
Город в Белоруссии.|Каменец
Город в Белоруссии.|Кобрин
Город в Белоруссии.|Коссово
Город в Белоруссии.|Лепель
Город в Белоруссии.|Лида
Город в Белоруссии.|Миоры
Город в Белоруссии.|Могилев
Город в Белоруссии.|Мозырь
Город в Белоруссии.|Мосты
Город в Белоруссии.|Мядель
Город в Белоруссии.|Орша
Город в Белоруссии.|Пинск
Город в Белоруссии.|Полоцк
Город в Белоруссии.|Слоним
Город в Белоруссии.|Слуцк
Город в Белоруссии.|Столин
Город в Белоруссии.|Чаусы
Город в Бельгии на слиянии рек Маас и Самбр.|Намюр
Город в Бельгии.|Арлон
Город в Бельгии.|Ат
Город в Бельгии.|Брюгге
Город в Бельгии.|Вервье
Город в Бельгии.|Ипр
Город в Бельгии.|Малин
Город в Бельгии.|Монс
Город в Бельгии.|Спа
Город в Бенине.|Абомей
Город в Бирме, на реке Иравади.|Паган
Город в Бирме.|Анин
Город в Бирме.|Лашо
Город в Бирме.|Мандалай
Город в Бирме.|Намту
Город в Бирме.|Пегу
Город в Болгарии (до 1934 Станимака).|Асеновград
Город в Болгарии, близ которого находится АЭС.|Козлодуй
Город в Болгарии.|Велик
Город в Болгарии.|Видин
Город в Болгарии.|Враца
Город в Болгарии.|Габрово
Город в Болгарии.|Козлодуй
Город в Болгарии.|Кырджали
Город в Болгарии.|Ловеч
Город в Болгарии.|Перник
Город в Болгарии.|Плевен
Город в Болгарии.|Пловдив
Город в Болгарии.|Русе
Город в Болгарии.|Сливен
Город в Болгарии.|Смолян
Город в Болгарии.|Троян
Город в Болгарии.|Хасково
Город в Болгарии.|Шумен
Город в Боливии.|Оруро
Город в Боливияи.|Оруро
Город в Боснии.|Рудо
Город в Бразилии.|Баия
Город в Бразилии.|Бауру
Город в Бразилии.|Иту
Город в Бразилии.|Куяба
Город в Бразилии.|Манаус
Город в Бразилии.|Натал
Город в Бразилии.|Уба
Город в Брестской области.|Пинск
Город в Брянской области, стоящий на одноименной реке.|Унеча
Город в Брянской области.|Дятьково
Город в Брянской области.|Жуковка
Город в Брянской области.|Злынка
Город в Брянской области.|Клинцы
Город в Брянской области.|Мглин
Город в Брянской области.|Почеп
Город в Брянской области.|Севск
Город в Брянской области.|Сураж
Город в Брянской области.|Фокино
Город в Великобритании (графство Сатерленд).|Брора
Город в Великобритании, Англия, на р. Эйвон, близ Бристольского залива.|Бат
Город в Великобритании, в Англии.|Блэкберн
Город в Великобритании, на реке Темза.|Итон
Город в Великобритании, о. Корнуолл.|Трутро
Город в Великобритании.|Белфаст
Город в Великобритании.|Дадли
Город в Великобритании.|Данди
Город в Великобритании.|Дувр
Город в Великобритании.|Иммингем
Город в Великобритании.|Ипсвич
Город в Великобритании.|Лестер
Город в Великобритании.|Лидс
Город в Великобритании.|Ноттингем
Город в Великобритании.|Ньюкасл
Город в Великобритании.|Портсмут
Город в Великобритании.|Рединг
Город в Великобритании.|Солсбери
Город в Великобритании.|Стокпорт
Город в Великобритании.|Уимблдон
Город в Великобритании.|Халл
Город в Венгрии, на реке Тиса.|Сегед
Город в Венгрии, порт на Дунае.|Вац
Город в Венгрии.|Байя
Город в Венгрии.|Веспрем
Город в Венгрии.|Дебрецен
Город в Венгрии.|Мишкольц
Город в Венгрии.|Озд
Город в Венгрии.|Папа
Город в Венгрии.|Печ
Город в Венгрии.|Эгер
Город в Винницкой области.|Немиров
Город в Волгоградской области.|Дубовка
Город в Волгоградской области.|Урюпинск
Город в Волгоградской области.|Харовск
Город в Вологодской области.|Вытегра
Город в Вологодской области.|Кириллов
Город в Вологодской области.|Котово
Город в Вологодской области.|Никольск
Город в Вологодской области.|Сокол
Город в Вологодской области.|Тотьма
Город в Вологодской области.|Устюжина
Город в Вологодской области.|Харовск
Город в Волынской области.|Иваничи
Город в Воронежской области, на р. Битюг.|Бобров
Город в Воронежской области.|Бобров
Город в Воронежской области.|Богучар
Город в Воронежской области.|Ирбит
Город в Воронежской области.|Калач
Город в Воронежской области.|Лиски
Город в Воронежской области.|Павловск
Город в Воронежской области.|Россошь
Город в Воронежской области.|Эртиль
Город в восточной части Турции.|Эрзурум
Город в Гане.|Ва
Город в Гане.|Шама
Город в Гватемале.|Антигуа
Город в Гвиане.|Ко
Город в Германии (Эйзенах).|Айзенах
Город в Германии на р. Дунай.|Ульм
Город в Германии на р. Нейсе.|Циттау
Город в Германии на реке Рейн.|Мангейм
Город в Германии на реке Эльбе.|Торгау
Город в Германии, Айзенах.|Эйзенах
Город в Германии, земля Бранденбург (Эйзенхюттенштадт).|Айзенхюттенштадт
Город в Германии, земля Сев. Рейн - Вестфалия.|Ахен
Город в Германии, земля Тюрингия, в верховьях р. Гера.|Арнштадт
Город в Германии.|Берлин
Город в Германии.|Бремен
Город в Германии.|Веймар
Город в Германии.|Витлих
Город в Германии.|Галле
Город в Германии.|Гамбург
Город в Германии.|Ганновер
Город в Германии.|Гера
Город в Германии.|Гота
Город в Германии.|Дессау
Город в Германии.|Дортмунд
Город в Германии.|Дрезден
Город в Германии.|Дуйсбург
Город в Германии.|Евер
Город в Германии.|Иена
Город в Германии.|Киль
Город в Германии.|Котбус
Город в Германии.|Лор
Город в Германии.|Майнц
Город в Германии.|Мюнхен
Город в Германии.|Нюрнберг
Город в Германии.|Потсдам
Город в Германии.|Ульм
Город в Германии.|Хемниц
Город в Германии.|Цвиккау
Город в Германии.|Шверин
Город в Германии.|Штутгарт
Город в Германии.|Эрфурт
Город в Германии.|Эссен
Город в Горьковской области.|Выкса
Город в Гренландии.|Гогхоб
Город в Греции.|Лариса
Город в Греции.|Неаполис
Город в Греции.|Салоники
Город в Греции.|Янина
Город в Гродненской обл.|Лида
Город в Грузии, в Алазанской долине.|Ахмета
Город в Грузии.|Абаша
Город в Грузии.|Амбролаури
Город в Грузии.|Ахалцихе
Город в Грузии.|Ахмета
Город в Грузии.|Вале
Город в Грузии.|Вани
Город в Грузии.|Гали
Город в Грузии.|Гори
Город в Грузии.|Зестафони
Город в Грузии.|Каспи
Город в Грузии.|Кварели
Город в Грузии.|Ланчхути
Город в Грузии.|Они
Город в Грузии.|Ониц
Город в Грузии.|Очамчира
Город в Грузии.|Сарпи
Город в Грузии.|Феррари
Город в Грузии.|Хашури
Город в Грузии.|Хоби
Город в Грузии.|Цхинвали
Город в Грузии.|Чиатура
Город в Грузия, на р. Паравани.|Ахалкалаки
Город в Дагестане.|Кизилюрт
Город в Дагестане.|Хасавюрт
Город в Дании, Гренландия.|Готхоб
Город в Дании.|Вро
Город в Дании.|Оденсе
Город в департаменте Сомма во Франции.|Ам
Город в Донецкой области.|Горловка
Город в Древней Греции.|Ороп
Город в Египте, порт на реке Нил.|Асуан
Город в Египте.|Луксор
Город в Египте.|Панта
Город в Египте.|Сохаг
Город в Египте.|Танта
Город в Житомирской обл.|Андрушевка
Город в Заире.|Икела
Город в Заире.|Ируму
Город в Заире.|Исиро
Город в Заире.|Кананга
Город в Заире.|Матади
Город в Закарпатской области на реке Тиса.|Тячев
Город в Закарпатье.|Калуш
Город в Замбии.|Ндола
Город в Западной Бенгалии (Индия).|Асансол
Город в западной части Индии, штат Махараштра.|Ахмаднагар
Город в Запорожской области.|Орехов
Город в Зимбабве.|Уанки
Город в Ивано-Франковской области.|Галич
Город в Ивано-Франковской области.|Снятын
Город в Ивановской области.|Вичуга
Город в Ивановской области.|Заволжск
Город в Ивановской области.|Кохма
Город в Ивановской области.|Матрешка
Город в Ивановской области.|Плес
Город в Ивановской области.|Пучеж
Город в Ивановской области.|Тейково
Город в Ивановской области.|Шуя
Город в Ивановской области.|Южа
Город в Ивановской области.|Юрьевец
Город в Израиле.|Ашдод
Город в Израиле.|Хайфа
Город в Израиле.|Яффа
Город в Индии (Шимла).|Симла
Город в Индии, в котором находится мавзолей Тадж-Махал.|Агра
