Азербайджанский ударный музыкальный инструмент типа бубна (дэф, дяф, даф).|гавал
Буква греческого алфавита.|кси
Буква греческого алфавита.|ламбда
Буква греческого алфавита.|лямбда
Буква греческого алфавита.|мю
Буква греческого алфавита.|ню
Буква греческого алфавита.|омега
Буква греческого алфавита.|пи
Буква греческого алфавита.|пси
Буква греческого алфавита.|ро
Буква греческого алфавита.|тау
Буква греческого алфавита.|тэта
Буква греческого алфавита.|фи
Буква греческого алфавита.|хи
Буква кириллицы.|аз
Буква кириллицы.|буки
Буква кириллицы.|веди
Буква кириллицы.|добро
Буква кириллицы.|ер
Буква кириллицы.|есть
Буква кириллицы.|зело
Буква кириллицы.|иже
Буква кириллицы.|ижица
Буква кириллицы.|како
Буква кириллицы.|кси
Буква кириллицы.|он
Буква кириллицы.|от
Буква кириллицы.|рцы
Буква кириллицы.|слово
Буква кириллицы.|твердо
Буква кириллицы.|ферт
Буква кириллицы.|фита
Буква кириллицы.|хер
Буква кириллицы.|ша
Буква кириллицы.|ять
Буква латинского алфавита.|ипсилон
Буква латинского алфавита.|ку
Бурятский кисломолочный напиток (хурунгэ).|хурунга
Бухгалтерский термин (векс.).|ретратта
Бухгалтерский термин.|депонент
Бухгалтерский термин.|кредитор
Бухгалтерский термин.|лизинг
Бывшего лидера движения освобождения Палестины зовут ...?|Ясир Арафат
Бывший лидер Палестинской автономии.|Арафат
Вечнозеленое дерево или кустарник южных стран с крупными душистыми цветами.|магнолия
Вечнозеленое дерево или кустарник, также съедобный плод его, нешне похожий на маленькую сливу.|маслина
Вечнозеленое дерево рода цитрус семейства рутовых. Родина - восточная часть Бирмы и юго-западный Китай.|апельсин
Вечнозеленое дерево с большими широкими листьями.|фикус
Вечнозеленое дерево семейства мареновых.|кофе
Вечнозеленое дерево семейства стеркулиевых, растущее в тропической Африке, семена которого содержат кофеин и используются в медицине, а также для приготовления тонизирующих напитков.|кола
Вечнозеленое индийское дерево с душистой древесиной.|сандал
Вечнозеленое кустарниковое или полукустарниковое растение, некоторые виды которого содержат эфедрин; хвойник.|эфедра
Вечнозеленое кустарниковое растение с белыми ягодами, паразитирующее на других деревьях.|омела
Вечнозеленое плодовое дерево рода цитрус.|цитрон
Вечнозеленое плодовое дерево.|олива
Вечнозеленое субтропическое цитрусовое растение из рода цитрус семейства рутовых с крупными плодами желтого или оранжевого цвета, похожими на лимоны.|цитрон
Вечнозеленое тропическое дерево с сильно ароматической, богатой эфирными маслами древесиной.|сандал
Вечнозеленое хвойное дерево или кустарник семейства кипарисовых.|туя
Вечнозеленое хвойное дерево семейства сосновых с конусообразной кроной.|ель
Вечнозеленое хвойное дерево семейства таксодиевых.|секвойя
Вечнозеленое хвойное дерево.|кедр
Вечнозеленое хвойное дерево.|пихта
Вечнозеленое хвойное дерево.|сосна
Вечнозеленое хвойное дерево.|тсуга
Взрывчатое вещество.|акватол
Взрывчатое вещество.|аммонит
Взрывчатое вещество.|гексил
Взрывчатое вещество.|термит
Взрывчатое вещество.|тетрил
Вид кожи.|выросток
Вид кожи.|лосина
Вид кожи.|сафьян
Вид кожи.|шагрень
Вид кожи.|шеврет
Вид кожи.|юфть
Вид красок.|акварель
Вид чайки.|водорез
Вид чайки.|крачка
Вид чайки.|хохотун
Византийская династия.|Ангел
Византийская династия.|Комнин
Византийский император (12 в.).|Иоанн
Византийский император с 1183 г.|Андроник
Византийский император с 491 г.|Анастасий
Византийский император с 920 года.|Роман
Византийский мастер-иконописец.|Грек
Водная трава.|рдест
Водное растение.|камыш
Водное растение.|рдест
Водное травянистое растение.|виктория
Водопад на реке Замбези.|Виктория
Вокалист «золотого состава» группы «Deep Purple».|Гиллан
Вокалист группы «U-2».|Боно
Восточный музыкальный инсирумент.|зиндж
Восточный музыкальный инсирумент.|кошнай
Восточный музыкальный инструмент.|бербет
Восточный музыкальный инструмент.|най
Восточный музыкальный инструмент.|ней
Восточный музыкальный инструмент.|нэфир
Восточный музыкальный инструмент.|саз
Восточный музыкальный инструмент.|шейпур
Время года, когда состоялась свадьба Блохина.|осень
Генерал-лейтенант, герой Отечественной войны 1812 года Иван Семенович Дорохов по месту рождения.|туляк
Герой древнегреческой мифологии.|Аякс
Герой древнегреческой мифологии.|Персей
Герой древнегреческой мифологии.|Сизиф
Герой древнегреческой мифологии.|Эгей
Герой древнегреческой мифологии.|Эдип
Герой древнегреческой мифологии.|Ясон
Герой древнегреческой мифологии; трагедия Вольтера; пьеса А. Жида.|Эдип
Гора на Алтае.|Белуха
Город в  Чувашии, пристань на реке Сура.|Алатырь
Город в Индии, административный центр штата Ассам.|Диспур
Город в Индии, административный центр штата Бихар.|Патна
Город в Индии, административный центр штата Мизорам.|Аиджал
Город в России Северная Осетия.|Беслан
Город в России.|Абакан
Город в России.|Азов
Город в России.|Архангельск
Город в России.|Белгород
Город в России.|Брянск
Город в России.|Буй
Город в России.|Владивосток
Город в России.|Вологда
Город в России.|Выборг
Город в России.|Вязьма
Город в России.|Вятка
Город в России.|Дудинка
Город в России.|Екатеринбург
Город в России.|Калининград
Город в России.|Кемерово
Город в России.|Копейск
Город в России.|Краснодар
Город в России.|Курган
Город в России.|Курск
Город в России.|Липецк
Город в России.|Москва
Город в России.|Новосибирск
Город в России.|Олекма
Город в России.|Омск
Город в России.|Орел
Город в России.|Пенза
Город в России.|Пермь
Город в России.|Псков
Город в России.|Ростов
Город в России.|Рябинск
Город в России.|Рязань
Город в России.|Салехард
Город в России.|Самара
Город в России.|Сангар
Город в России.|Санкт-Петербург
Город в России.|Смоленск
Город в России.|Сургут
Город в России.|Таганрог
Город в России.|Тамбов
Город в России.|Тверь
Город в России.|Томмот
Город в России.|Томск
Город в России.|Тюмень
Город в России.|Ханты-Мансийск
Город в России.|Челябинск
Город в России.|Чита
Город в России.|Шуя
Город в России.|Якутск
Город в Швейцарии.|Женева
Город в Швейцарии.|Люцерн
Город в Японии, на острове Хонсю, административный центр префектуры Аомори.|Аомори
Город во Франции, пригород Парижа.|Версаль
Город и один из главных морских портов Финляндии, у Финского залива.|Котка
Город на Украине, знаменитый своей кинопленкой.|Шостка
Город-порт в России Ростовская область, на реке Дон.|Азов
Город-порт в России, Калининградская область (Пиллау).|Балтийск
Город-порт в России, Приморье.|Находка
Город-порт в России.|Архангельск
Город-порт в России.|Астрахань
Город-порт в России.|Диксон
Город-порт в России.|Магадан
Город-порт в России.|Тикси
Город-порт в США, штат Мэриленд.|Балтимор
Город-порт в США.|Детройт
Город-порт в США.|Кливленд
Город-порт в США.|Портленд
Город-порт во Франции (Канн).|Канны
Город-порт во Франции (Канны).|Канн
Государство ближнего зарубежья.|Армения
Государство ближнего зарубежья.|Грузия
Государство ближнего зарубежья.|Латвия
Государство ближнего зарубежья.|Литва
Государство в Австралии и Океании.|Зеландия
Государство в Австралии и Океании.|Килинг
Государство в Австралии и Океании.|Ниуэ
Государство в Австралии и Океании.|Папуа
Государство в Австралии и Океании.|Тувалу
Государство в Австралии и Океании.|Уэйк
Государство в Азии (старое название); стихотворение И.Бунина.|Цейлон
Государство в Азии.|Азербайджан
Государство в Азии.|Аомынь
Государство в Азии.|Аравия
Государство в Азии.|Армения
Государство в Азии.|Афганистан
Государство в Азии.|Бангладеш
Государство в Азии.|Бахрейн
Государство в Азии.|Бирма
Государство в Азии.|Бруней
Государство в Азии.|Бутан
Государство в Азии.|Вьетнам
Государство в Азии.|Гонконг
Государство в Азии.|Грузия
Государство в Азии.|Израиль
Государство в Азии.|Индия
Государство в Азии.|Индонезия
Государство в Азии.|Иордания
Государство в Азии.|Ирак
Государство в Азии.|Иран
Государство в Азии.|Йемен
Государство в Азии.|Камбоджа
Государство в Азии.|Кампучия
Государство в Азии.|Катар
Государство в Азии.|Кипр
Государство в Азии.|Киргизия
Государство в Азии.|Китай
Государство в Азии.|Корея
Государство в Азии.|Кувейт
Государство в Азии.|Лаос
Государство в Азии.|Макао
Государство в Азии.|Малайзия
Государство в Азии.|Мальдивы
Государство в Азии.|Монголия
Государство в Азии.|Непал
Государство в Азии.|ОАЭ
Государство в Азии.|Оман
Государство в Азии.|Пакистан
Государство в Азии.|Саудовская Аравия
Государство в Азии.|Сингапур
Государство в Азии.|Сирия
Государство в Азии.|Сянган
Государство в Азии.|Таджикистан
Государство в Азии.|Таиланд
Государство в Азии.|Тайвань
Государство в Азии.|Туркмения
Государство в Азии.|Турция
Государство в Азии.|Узбекистан
Государство в Азии.|Филиппины
Государство в Азии.|Шри-Ланка
Государство в Азии.|Эмираты
Государство в Азии.|Япония
Государство в Америке.|Панама
Государство в Африке.|Ангола
Государство в Африке.|Бенин
Государство в Африке.|Бисау
Государство в Африке.|Ботсвана
Государство в Африке.|Вольта
Государство в Африке.|Габон
Государство в Африке.|Гамбия
Государство в Африке.|Гана
Государство в Африке.|Гвинея
Государство в Африке.|Египет
Государство в Африке.|Заир
Государство в Африке.|Замбия
Государство в Африке.|Зимбабве
Государство в Африке.|Камерун
Государство в Африке.|Конго
Государство в Африке.|Либерия
Государство в Африке.|Маврикий
Государство в Африке.|Мавритания
Государство в Африке.|Малави
Государство в Африке.|Мали
Государство в Африке.|Марокко
Государство в Африке.|Мозамбик
Государство в Африке.|Намибия
Государство в Африке.|Нигерия
Государство в Африке.|Руанда
Государство в Африке.|Свазиленд
Государство в Африке.|Сенегал
Государство в Африке.|Сомали
Государство в Африке.|Судан
Государство в Африке.|Танзания
Государство в Африке.|Того
Государство в Африке.|Тунис
Государство в Африке.|Уганда
Государство в Африке.|Эритрея
Государство в Африке.|Эфиопия
Государство в Африке.|ЮАР
Государство в Вест-Индии.|Куба
Государство в Восточной Африке.|Малави
Государство в Европе.|Австрия
Государство в Европе.|Албания
Государство в Европе.|Андорра
Государство в Европе.|Бельгия
Государство в Европе.|Болгария
Государство в Европе.|Ватикан
Государство в Европе.|Великобритания
Государство в Европе.|Венгрия
Государство в Европе.|ГДР
Государство в Европе.|Германия
Государство в Европе.|Гибралтар
Государство в Европе.|Голландия
Государство в Европе.|Греция
Государство в Европе.|Ирландия
Государство в Европе.|Испания
Государство в Европе.|Италия
Государство в Европе.|Латвия
Государство в Европе.|Литва
Государство в Европе.|Лихтенштейн
Государство в Европе.|Люксембург
Государство в Европе.|Мальта
Государство в Европе.|Молдавия
Государство в Европе.|Нидерланды
Государство в Европе.|Норвегия
Государство в Европе.|Польша
Государство в Европе.|Португалия
Государство в Европе.|Румыния
Государство в Европе.|Словения
Государство в Европе.|Украина
Государство в Европе.|Франция
Государство в Европе.|Хорватия
Государство в Европе.|Швейцария
Государство в Европе.|Швеция
Государство в Европе.|Эстония
Государство в Европе.|Югославия
Государство в Закавказье.|Армения
Государство в Западной Азии.|Турция
Государство в Западной Африке.|Бенин
Государство в Западной Африке.|Гана
Государство в Западной Африке.|Либерия
Государство в Западной Африке.|Сенегал
Государство в Западной Африке.|Того
Государство в Карибском бассейне.|Гренада
Государство в Латинской Америке.|Барбадос
Государство в Латинской Америке.|Куба
Государство в Латинской Америке.|Панама
Государство в Малой Азии, столица - Маскат.|Оман
Государство в Океании.|Вануату
Государство в Океании.|Гуам
Государство в Океании.|Кирибати
Государство в Океании.|Науру
Государство в Океании.|Норфолк
Государство в Океании.|Папуа-Новая Гвинея
Государство в Океании.|Питкэрн
Государство в Океании.|Самоа
Государство в Океании.|Тонга
Государство в океании.|Фиджи
Государство в Северной Америке.|Ангилья
Государство в Северной Америке.|Барбадос
Государство в Северной Америке.|Белиз
Государство в Северной Америке.|Гаити
Государство в Северной Америке.|Гватемала
Государство в Северной Америке.|Гондурас
Государство в Северной Америке.|Гренада
Государство в Северной Америке.|Доминика
Государство в Северной Америке.|Доминиканская республика
Государство в Северной Америке.|Кайман
Государство в Северной Америке.|Канада
Государство в Северной Америке.|Мексика
Государство в Северной Америке.|Панама
Государство в Северной Америке.|Сальвадор
Государство в Северной Америке.|США
Государство в Северной Америке.|Ямайка
Государство в Северной Африке.|Ливия
Государство в Северной Африке.|Тунис
Государство в Северо-Западной Африке.|Марокко
Государство в СНГ.|Армения
Государство в СНГ.|Молдавия
Государство в СНГ.|Украина
Государство в составе Британского содружества.|Кирибати
Государство в составе СНГ.|Армения
Государство в Тихом океане (входит в состав Британское содружества).|Кирибати
Государство в Центральной Америке и его столица.|Панама
Государство в Центральной Америке.|Багамы
Государство в Центральной Америке.|Барбадос
Государство в Центральной Америке.|Белиз
Государство в Центральной Америке.|Гватемала
Государство в Центральной Америке.|Кайман
Государство в Центральной Америке.|Куба
Государство в Центральной Америке.|Панама
Государство в Центральной Америке; город в Азербайджане.|Куба
Государство в Центральной Америке; стихотворение М. Светлова.|Гренада
Государство в Центральной Африке.|Замбия
Государство в Центральной Африке.|Конго
Государство в Центральной Бирме в 14-18 вв.|Ава
Государство в Юго-Восточной Азии.|Вьетнам
Государство в юго-западной части Тихого океана.|Тонга
Государство в Южной Азии, в центральной части Гималаев.|Непал
Государство в Южной Азии.|Индия
Государство в Южной Америке.|Аргентина
Государство в Южной Америке.|Боливия
Государство в Южной Америке.|Бразилия
Государство в Южной Америке.|Венесуэла
Государство в Южной Америке.|Гайана
Государство в Южной Америке.|Гвиана
Государство в Южной Америке.|Колумбия
Государство в Южной Америке.|Парагвай
Государство в Южной Америке.|Перу
Государство в Южной Америке.|Уругвай
Государство в Южной Америке.|Чили
Государство в Южной Америке.|Эквадор
Государство в Южной Аравии в 1-ом тыс. до н. э.|Катабан
Государство в Южной Африке.|Лесото
Государство и вершина в Африке.|Кения
Государство и вулкан в Африке.|Камерун
Государство и река в Африке.|Нигер
Государство и река в Африке.|Сенегал
Государство на Аравийском полуострове.|Катар
Государство на Ближнем Востоке.|Ирак
Государство на востоке Аравийского полуострова.|Оман
Государство на полуострове Индокитай.|Вьетнам
Государство на полуострове Индокитай.|Лаос
Государство на территории Италии и Франции.|Савойя
Государство на юге Закавказья.|Армения
Государство на юго-западе Европы, в Пиренеях.|Андорра
Государство, бывшая республика СССР.|Азербайджан
Графство в Англии.|Дорсет
Графство в Англии.|Дургам
Графство в Англии.|Суррей
Графство в Англии.|Чешир
Греки, древнее племя, народ.|данайцы
Греки, древнее племя, народ.|дорийцы
Греки, древнее племя, народ.|ионийцы
Греция, историческая область.|Фессалия
Греция, историческая область.|Фракия
Греция, историческая область.|Эпир
Греческая буква.|Каппа
Греческая буква.|Ни
Греческая буква.|Тита
Греческое женское имя.|Ирина
Греческое имя.|Антипа
Грубошерстная порода овец (Армения).|бозах
Грузик, надеваемый на веретено для веса и равномерности вращения.|прясло
Грузинская буква.|ан
Грузинская буква.|кар
Грузинская буква.|цан
Грузинская волынка.|свири
Грузинская волынка.|ствири
Грузинская каша из чумизы.|гоми
Грузинский ударный музыкальный инструмент.|доли
Грузинский царь 10-11 вв.|Баграт
Грузинский щипковый музыкальный инструмент.|пандури
Грузинский щипковый музыкальный инструмент.|чанги
Грузинский эпос.|Амираниани
Грузинский эпос.|Этериани
Грузинское вино №1.|Цинандали
Грузия (столица, центр).|Тбилиси
Группа из трех коралловых островов в Тихом океане.|токелау
Групповая фигура пилотажа.|клин
Групповая фигура пилотажа.|пеленг
Групповая фигура пилотажа.|ромб
Групповая фигура пилотажа.|фронт
Грызун.|бобр
Грызун.|гофер
Грызун.|мышь
Грызун.|пасюк
Грызун.|слепыш
Грызун.|соня
Грызун.|цокор
Гуцульский народный духовой деревянный музыкальный инструмент в виде большой трубы.|трембита
Дальневосточная красноперка, прох. рыба рода ельцы семейства карповых.|угай
Датская, английская, норвежская династии.|Горма
Два знаменитых украинских живописца прошлого века, однофамильцы.|Мурашко
Два ледника большого Кавказа, на Эльбрусе.|Азау
Два параллельных хребта на границе Чехии и Германии.|Шумава
Декоративное деревья и кустарники.|бирючина
Декоративное деревья и кустарники.|жасмин
Декоративное деревья и кустарники.|магнолия
Декоративное комнатное растение с широкими овальными листьями.|фикус
Декоративное комнатное травянистое растение с пахучими листьями, снимающее головную боль.|герань
Декоративное кустарниковое растение с крупными воронкообразными цветками различной окраски.|азалия
Декоративное кустарниковое растение семейства вересковых с розовыми, белыми, желтыми или красными цветками.|азалия
Декоративное лекарственное растение.|алоэ
Декоративное многолетнее растение с многочисленными душистыми цветками, обычно собранными в крупное соцветие на вершине стебля.|флокс
Декоративное многолетнее травянистое растение семейства камнеломковых с мелкими цветками, собранными в крупные красивые соцветия.|астильбе
Декоративное однолетнее садовое растение семейства пасленовых с крупными, яркими, расходящимися колокольчиком цветками.|петунья
Декоративное растение и ягода.|актинидия
Декоративное растение рода пальм с широкими веерообразными листьями.|латания
Декоративное растение рода рододендрон семейства вересковых.|азалия
Декоративное растение с голубоватыми цветками семейства кутровых.|барвинок
Декоративное растение с пахучими цветками.|герань
Декоративное растение с цветками в виде крупных колокольчиков.|глоксиния
Декоративное растение семейства аралиевых.|аралия
Декоративное растение семейства бурачниковых с фиолетовыми или белыми душистыми цветками.|гелиотроп
Декоративное растение семейства гидрангиевых с крупными соцветиями различной окраски.|гортензия
Декоративное растение семейства кипрейных с яркими, преимущественно красными цветками.|фуксия
Декоративное растение семейства лютиковых с крупными яркими цветками.|пион
Декоративное растение семейства мальвовых с пышными цветками на высоком стебле; садовая мальва.|штокроза
Декоративное растение семейства сложноцветных с пышными соцветиями различной окраски.|хризантема
Декоративное растение семейства сложноцветных с яркими, различной окраски цветками.|цинерария
Декоративное растение семейства толстянковых с мясистыми стеблями и листьями.|очиток
Декоративное растение, цветок.|фиалка
Декоративное садовое растение с крупными цветками.|табак
Декоративное садовое растение с многочисленными душистыми цветками, собранными в крупное соцветие на вершине стебля.|флокс
Декоративное травянистое растение.|амариллис
Декоративное травянистое растение.|базилик
Декоративное травянистое растение.|гвоздика
Декоративное травянистое растение.|георгин
Декоративное травянистое растение.|ломонос
Декоративное травянистое растение.|орхидея
Декоративное травянистое садовое растение с душистыми цветками.|табак
Декоративный камень.|тешенит
Декоративный кустарник деревья и кустарники.|ерика
Декоративный кустарник с ароматными цветками.|жасмин
Декоративный кустарник юга европейской части России с серебристой листвой и ветками и желтоватыми ягодами.|лох
Декоративный кустарник.|жасмин
Дерево или кустарник семейства пандановых со съедобными плодами.|панданус
Дерево или кустарник семейства розовых с овальными листьями и похожими на мелкие яблоки плодами.|фотиния
Дерево или кустарник семейства розоцветных с многочисленными белыми, кремовыми или розовыми цветками и съедобными плодами.|ирга
Дерево или кустарник семейства розоцветных, распространенные в Европе, Северной Африке, на юге России и имеющие желто-бурые или красные плоды и крепкую древесину.|берека
Дерево рода ильм.|карагач
Дерево с ценной желто-красной древесиной; красный сандал.|фернамбук
Дерево семейства березовых с твердой древесиной.|граб
Дерево семейства бомбаксовых, листья пальчатосложные, опадающие на жаркое время, цветки белые крупные.|баобаб
Дерево семейства бомбаксовых, характерное для саванн Африки.|баобаб
Дерево семейства ивовых с серой, с годами чернеющей корой, с мощной кроной и высоким стволом; черный тополь.|осокорь
Дерево семейства лещиновых с гладким серым стволом.|граб
Дерево семейства розовых.|арония
Дерево семейства симарубовых, листья - корм гусениц шелкопряда.|айлант
Дерево семейства эбеновых.|хурма
Дерево ценной породы.|бархат
Дерево южных стран.|фисташка
Дерево.|баобаб
Дерево.|береза
Дерево.|бук
Дерево.|ива
Дерево.|пальма
Дерево; город в Беларуссии; стихотворение С. Есенина.|береза
Деревце на Дальнем Востоке.|аралия
Деревья и кустарники.|агава
Деревья и кустарники.|арча
Деревья и кустарники.|береза
Деревья и кустарники.|берест
Деревья и кустарники.|бузина
Деревья и кустарники.|вяз
Деревья и кустарники.|ильм
Деревья и кустарники.|квебрахо
Деревья и кустарники.|крушина
Деревья и кустарники.|липа
Деревья и кустарники.|осина
Деревья и кустарники.|тисе
Деталь огнестрельного оружия.|затвор
Деталь огнестрельного оружия.|курок
Деталь огнестрельного оружия.|ложе
Деталь огнестрельного оружия.|мушка
Деталь огнестрельного оружия.|прицел
Деталь огнестрельного оружия.|цевье
Династия арабских халифов.|Аббасиды
Династия арабских эмиров в Северной африке.|Аглабиды
Династия в 12-13 в. в Египте, Сирии, Месопотамии, Южной Аравии.|Айюбиды
Династия в Корее в 1392-1910 гг.|Ли
Династия в Корее в 14-20 вв.; народ в Китае, коренное население о. Хайнань.|Ли
Династия в Корее в 14-20 вв.|Ли
Династия в Спарте.|Агиады
Династия выдающихся российских скрипачей.|Ойстрах
Династия выдающихся скрипичных мастеров из Италии.|Амати
